smiles,CDK2_9606,GSK3B_10090,GSK3A_9606,GSK3B_10116,GSK3B_9606,ABL1_10090,LCK_9606,ZAP70_9606,ABL1_9606,LCK_10090
CC1=NC=C(C2=NC(NC3=CC=C(S(C)(=O)=O)C=C3)=NC=C2)N1C(C)C,1.0,,,,,,,,,
CC1(C)C(=O)NC(=O)C2=C1C=CC1=C2N=C(NC2=C(Br)C=C(Br)C=C2Br)N1,,,,,,,1.0,,,
FC1=CC=C(C2=NC=CC(C3=C(C4=CC=CC=N4)NN=C3)=C2)C=C1,0.0,,0.0,,0.0,,0.0,0.0,0.0,
CC1=NN2N=C(C3=CC=C(F)C=C3)C(C3=NC(NC4=CC=CC(C(F)(F)F)=C4)=NC=C3)=C2C=C1,0.0,,,0.0,1.0,,,,,
CC1=NC=C(C2=CC(C(=O)NC3=CC=C(OC(F)(F)F)C=C3)=CN=C2N2CCC(CO)C2)C=C1,,,,,,,,,1.0,
COC1=CC(NC2=C(C(N)=O)C3=NC=NN3C(N[C@H]3CCCC[C@H]3N)=N2)=CC(OC)=C1,,,,,,,,1.0,,
COC1=C(OC)C2=C(C=C1)N1C(CCCO)=NC=C1C(NC1=C(C)C=CC=C1Cl)=N2,,,,,,,1.0,,,
COC1=CC=C(NC2=NN=C(C3=CC=C([N+](=O)[O-])C=C3)O2)C=C1,,,,,1.0,,,,,
CCN(CC)CC1=CC=CC(NC2=NC=CC(C3=C4C=CC=NN4N=C3)=N2)=C1,1.0,,,,,,,,,
CN1C=C(C2=C(C3=COC4=C3C=CC(CO)=C4)C(=O)NC2=O)C2=C1C=CC(C#N)=C2,,,,,1.0,,,,,
N#CC1=CC(Cl)=C(C(=O)NC2=CC=NC(NC(=O)C3CC3)=C2)C(Cl)=C1,,,,,,,,,,
C1=CCN2C=CC3=C2C=C(C=C3)C2=NC(=NC=C2)NC2=CC=CC(=C2)COC1,1.0,,,,,,,,,
CN1C(C2=CC=C(S(C)(=O)=O)C=C2)=NC2=C(SC3=CC=CC=C3)N=CN=C21,,,,,0.0,,0.0,,,
O[C@H]1CC[C@H](NC2=NC(CC3=CC=CC=C3)=CC(NC3=NC4=CC=CC=C4S3)=N2)CC1,,,,,,,1.0,,,
CC(C)N1N=C(C2=CC3=NON=C3C=C2)C2=C(N)N=CN=C21,,,,,,,,,0.0,
COC1=C(OC2=CC=CC=C2)C=CC(C=C2CCNC2=O)=C1,,,,,0.0,,,,,
CC(O)C(C)OC1=NC(NC2=CC=C(S(C)(=N)=O)C=C2)=NC=C1Br,1.0,,,,,,,,,
BrC1=C2N=C(C3=CC=CC=C3)C=C(NCC3=CC=NC=C3)N2N=C1,1.0,,,,,,,,,
COCC1=NC2=C(C(C)=NN2C2=CC=CC=C2)C(=O)N1,,,,,,,,,0.0,
CCN(CC)C(=O)OC1=C(C2=CC=CC3=CC=CC=C23)C2=CC=CC=C2N1,,,,,0.0,,,,,
CC1=C(C2=CC=C(OC3=CC=CC=C3)C=C2)C2=C(N)N=CN=C2N1C1CCCC1,,,,,,,1.0,,,
CC1=NC(C)=C(C2=NC(NC3=CC=C(O)C=C3)=NC=C2)S1,1.0,,,,,,,,,
CC1=C(C=CCN(C)C)NC(=O)C2=C1C=CC1=C2N(C)C(NC2=C(Cl)C=CC=C2Cl)=N1,,,,,,,1.0,,,
CC1=CC(NC(=O)COC2=CC(O)=C3C(=O)C=C(C4=CC=CC=C4)OC3=C2)=NC=C1Br,,,,,,,,,0.0,
NS(=O)(=O)C1=CC=C(N=NC2=C(O)NC3=C2C=C(Br)C=C3)C=C1,1.0,,,,,,,0.0,,
COC1=CC(OC)=C(N(C(=O)OC2=C(C)C=CC=C2C)C2=NC(NC3=CC(OC)=C(OCCN4CCOCC4)C(OC)=C3)=NC=C2)C=C1,,,,,,,1.0,,,
CC1=CC(NC2=NN=C(C3=CC=CN=C3CCC3=CC=NC=C3)O2)=CC=C1,,,,,,,,,,
CSC1=NC(N2CCCCC2)=C2C=CN(CC3=CC=C(F)C=C3)C2=N1,,,,,,,,,0.0,
COC1=CC=CC=C1CCN(C)C1=CC(C2=NC=NC=C2)=CC(=O)N1C,,,,,1.0,,,,,
CN1C=CN=C1C(=O)NC1=CC(OC2=CC3=C(C=C2)C(C=CC2=CC=CC=N2)=NN3)=CC=C1,,,,,,,0.0,,,
COC(=O)C1=CC2=CC(NC3=CC=CC(Br)=C3)=CN=C2N1,,,,,,,,,0.0,
CC1=CC(C)=C(NC(=O)C2=CN=C(NC3=NC=CN=C3)S2)C(C)=C1,,,,,,,1.0,,,
CN(C)CCN1C=NC(C2=CC=C(F)C=C2)=C1C1=CC2=C(C=C1)NN=C2,,,,,0.0,,,,,
CN1C=C(NC2=NC=C(Br)C(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)=N2)C=N1,,,,,1.0,,1.0,,,
CC1=C2NC(O)=C(C=NC3=CC=C(S(N)(=O)=O)C=C3)C2=CC=C1,0.0,,,,,,,,,
CN(C)C(=O)C1=CC=CC(C2=CN=C(N)C(C3=NC4=C(C(N5CCNCC5)=CC=C4)N3C)=N2)=C1,0.0,,,,,,,,,
COC1=CC=C(CNC2=NC(SC)=NC3=C2C=NN3CC(Cl)C2=CC=CC=C2)C=C1,,,,,,,,,1.0,
NC1=C(F)C(NCCNC2=CC=CC=N2)=C2OCCC3(CCCC3)N3C=C(C(=O)O)C(=O)C1=C23,,,,,1.0,,,,,
CCCCCCCCN(CCCCCCCC)C(=O)C(C)NC(=O)C(NC(=O)C(CC1=CC=C(OP(=O)(O)O)C=C1)NC(C)=O)C(C)C,,,,,,,,,0.0,
CN1C=C(C2=C(C3=NN=C4C=CC=CN34)C(=O)NC2=O)C2=C1C=CC(Cl)=C2,,,,,1.0,,,,,
CC(C)(C)C(=O)NC1=CC2=C(C=C1)C1=CC=CC=C1C(=O)C2=O,,,,,,,0.0,,,
ClC1=CC=CC(N2C=C(C3=CC=CC=C3NCC3=CC4=C(C=C3)OCO4)N=N2)=C1,0.0,,,,0.0,,,,,
O=C1N=C2C=CC(I)=CC2=C1C1=C(O)N(C2=CC=CC=C2)C(=NC2=CC=CC=C2)S1,,,,,0.0,,,,,
COC1=CC(N2CCC3=C(C2)SC(NC(=O)NCCC2=CN(CC(F)F)C=N2)=N3)=CN=C1Cl,,,,,0.0,,,,,
O=C(NC1=CC=C(Cl)C(C2=CC=C3C=C(NC(=O)C4CC4)N=CC3=C2)=C1)C1CCOCC1,,,,,,,,,1.0,
O=C1NNC=C1N=NC1=CC=CC=C1Cl,,,,,0.0,,,,,
CC1=CC(C2=C(Cl)C=CC(O)=C2)=CC2=C1N=C(NC1=CC=C(S(=O)(=O)N(C)CCN3CCCC3)C=C1)N=N2,,,,,,,,,1.0,
CC1=C(NC(=O)C2=CN=C(NCCN3CCOCC3)N=C2OC2=CC=CC=C2)C=C(C(=O)NC2=CC=CC(C(F)(F)F)=C2)C=C1,,,,,,,1.0,,,
CC1=C2C=C(C3=NN=C(NCC(N)CC4=CC=CC=C4C(F)(F)F)S3)C=CC2=NN1,1.0,,,,,,,,,
NC(=O)C1=C2NC3=CC(OCC(=O)O)=CC=C3CCN2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,,,,,,,1.0,,,
CC(C)N1N=C(C2=CC(C=O)=CO2)C2=C(N)N=CN=C21,,,,,,,,,0.0,
NC1=CC=CC=C1NC(=O)C=CC1=CC(C2=CC3=C(C=C2)N=CN=C3NC2=CC(Cl)=C(OCC3=CC(F)=CC=C3)C=C2)=CC=C1,1.0,,,,,,,,0.0,
COC1=CC=C(N2C=NC3=C2C=C(C2=NN=C(SCC4=CC(C#N)=CC=C4)O2)C=C3)C=C1,0.0,,,,1.0,,0.0,,,
CCN1C(C2=NON=C2N)=NC2=C(C#CC(C)(C)O)N=C(OCC(N)CC3=CC=CC=C3)C=C21,,,,,1.0,,,,,
NC1=NC=C(C2=CC=C(S(=O)(=O)N3CCOCC3)C=C2)N=C1C(=O)NC1=CC=CN=C1,,1.0,,,1.0,,,,,
FC1=CC=C(C2=NN3N=CC=CC3=C2C2=NC(NC3=CC4=C(C=C3)OCCO4)=NC=C2)C=C1,0.0,,0.0,,1.0,,0.0,0.0,0.0,
COC1=CC=C(C2=CC=C3C(N4CCOC[C@@H]4C)=NC(N4CCOC[C@@H]4C)=NC3=N2)C=C1CO,0.0,,0.0,,0.0,,0.0,,0.0,
CC1CN(C2=CC=C(N=CC3=C(O)NC(=O)C4=C3C=C(I)C=C4)C=C2)CC(C)N1C,0.0,,,,,,,,,
NC1=NC(C2=C(O)C=CC(N3CC(O)C(O)C3)=C2)=CC(C2CCNCC2)=N1,1.0,,,,,,,,,
COCCOC1=CC=C2C=C1CN(C)CC=CCOCC1=CC=C(O1)C1=CC=NC(=N1)N2,0.0,,,,,,,,,
CCOC(=O)CN=C1N=C(C2=CC=CC=C2)N(C2=CC=CC=C2)S1,,,,,0.0,,,,,
CN1C(N2CCOC3CCCC32)=NC(C2=C(F)C=NC=C2)=CC1=O,,,,,1.0,,,,,
O=C(NCCC1=CC=CC=C1)C1=C2N=C(C3=CC=CC=C3)NC2=C(O)C=C1,,,,,1.0,,,,,
CN(C1=CC=CC(NC(=O)C2=CC(C(F)(F)F)=CC=C2)=C1)C1=CC2=C(C=C1)C(C=CC1=CC3=C(C=C1)OCO3)=NN2,,,,,,,0.0,,,
NC1=NC=NC2=C1C=NN2CC1CCNCC1,,,,,,,,,0.0,
O=C(NC1=NN2C(C3=CC=C(CN4CCS(=O)(=O)CC4)C=C3)=CC=CC2=N1)C1CC1,0.0,,0.0,,0.0,,0.0,,0.0,
CC1=CC=C(C2=CN=C(C3COCCN3CC3=CNC4=CC=CC=C34)N2)C=C1,,,,,1.0,,,,,
C#CCNC(=O)C1=CC=CC=C1SC1=CC2=C(C=C1)C(C=CC1=CC=CC=N1)=NN2,,,,,,,0.0,,,
FC1=CC=CC=C1C1=NC=CC2=C1NC1=CC=CC=C12,,,,,,,,,,
NC1=NC=C(C2=CC(C(=O)NC3=CC=C(OC(F)(F)F)C=C3)=CN=C2N2CCC(O)C2)C=N1,,,,,,,,,1.0,
NC1=NC=NC2=C1C(C1=CC3=C(Cl)C=CC=C3N1)=NN2CC1CCNCC1,,,,,,,,,0.0,
COC1=C(C(=O)NCCCNC2=C3CCCCC3=NC3=CC(Cl)=CC=C23)SC(C2=CC=NC(NC(=O)C3CC3)=C2)=N1,,,,,1.0,,,,,
COC1=CC=C(C#CC(C)(C)N)C=C1C1=C2C=CC(NC3=CC=C(F)C=C3F)=NC2=NN1,,,,,,,,,0.0,
NC(=O)C1=CC=C(C2=CC(C(N)=O)=C(N)C(C3=CC=C(S(N)(=O)=O)C=C3)=C2)C=C1,0.0,,0.0,,,,0.0,0.0,0.0,
CC1=C(C2=NC(NC3=CC=C(F)C=C3)=NC=C2)C(C)=C(Cl)N1,1.0,,,,,,,,,
O=C1NNC(C2=CC=CC=C2)=C(N=NC2=CC=CC=C2)C1=O,,,0.0,,0.0,,,,,
CCNC(=O)NC1=NC2=C(C=C(C3=C(C)C=NC=C3)C=C2)N1,,,,,,,,,1.0,
NCCCC1=NC(NC2=CC=C(N3CCOCC3)C=C2)=C2C(=O)NC=CC2=C1,,,,,,,,1.0,,
C[C@H](C1=CC=C(F)C=C1)N(CC1=CC=CC(C(=O)O)=C1)C(=O)C1=CN=C2C=CC=CC2=C1,,,,,,,,,,
CC1=C(F)C=NC=C1C1=CC2=CN=C(NC(=O)C3CC3F)C=C2C=[N+]1[O-],,,,,,,,,1.0,
CN1CC=C(C2=C(O)C=C(O)C3=C2OC(C2=C(Cl)C=C(SC4=NC5=CC=CC=C5N4)C=C2)=CC3=O)CC1,,,,,1.0,,,,,
CC1=CC=C(F)C=C1C1=CC=C2C=C(NC(=O)C3C[C@H]3F)N=CC2=C1,,,,,,,,,1.0,
O=C1CC2=C(NC3=C2C=C([N+](=O)[O-])C=C3)C2=C(C=CC(Br)=C2)N1,,,,,1.0,,,,,
NC(=O)C1=C2NC3=CC=C(OCC4=CC=NC=C4)C=C3CCN2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,,,,,,,1.0,,,
COC1=CC=CC2=C1NC(C1=C3C(N)=NC=NN3C(C3CCC(C(=O)O)CC3)=N1)=C2,,,,,,,,,,
CN(CC1=CC=CC=C1)C(=O)C1=CC=C(S(=O)(=O)NC2=CC=CC=C2)C=C1,0.0,,,,0.0,,0.0,,0.0,
N#CC1=CC=C(C2=CC3=C(N=C2)NC=C3NC(=O)C2=CN=CC=C2)C=C1,0.0,,0.0,,,,,,,
COC1=CC=C2C(C3=CC=NC(N)=N3)=CNC2=C1,,,,,0.0,,,,,
NC1=NC2=C(C=CC(C3=NN(CC4OCCO4)C4=NC=NC(N)=C34)=C2)O1,,,,,,,,,0.0,
CCCCCCCCCCCC(=O)NNC(=O)C1=C(O)C2=CC=CC=C2N(CC=C(C)C)C1=O,,,,,0.0,,,,,
CC1(C)C2=C(C=CC(C3CCN(CC4CCOCC4)CC3)=C2)C(=O)C2=C1NC1=C2C=CC(C#N)=C1,,,,,,0.0,,,,
FC1=CC(N2C=NC3=C(NCC4=NC5=C(C=CC(F)=C5F)N4)N=C(N4CCOCC4)N=C32)=CC(F)=C1,,,,,,,,,,
CCCN(C(=O)NC1=CC=CC=C1F)C1CCC2=C(C1)SC(NCC1=CC=C(C(=O)O)C=C1)=N2,,,,,0.0,,,,,
CN(C1=NC=NC(NC2=CC=CC=N2)=C1)C1CCCCC1,,,,,,,0.0,,,
CC1=NC(NCCCCCC(=O)NO)=CC(NC2=NC=C(C(=O)NC3=C(C)C=CC=C3Cl)S2)=N1,,,,,,,1.0,,1.0,
COC1=CC(C=C(C(=O)/C=C/C2=CC=C(O)C(OC)=C2)C(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,,,,,,,,,1.0,
CC1=CC=C(N2N=C(C(C)(C)C)C=C2NC(=O)NC2=CC=C(OC3=NC(NC4=CC=CC5=C4C=CN5)=NC=C3)C3=CC=CC=C23)C=C1,,,0.0,,,,,,,
CC1=CC(NC2=NC(NC3=CC=CC(C(N)=O)=C3)=NC=C2)=CC(O)=C1,,,,,,,,,,1.0
CCNC1=NC=C(NC(=O)C2=CC(NC(=O)C3=CC=CC(C(F)(F)F)=C3)=CC=C2C)C=N1,,,,,,,1.0,,,
COC1=C(OC)C=C(C=CC(=O)NC2=CC(SC3=NC=NN3)=C(O)C3=CC=CC=C23)C=C1,,,,,,,,,0.0,
CC1=C(C2=CC3=CN=C(NC(=O)C4CC4)C=C3C=C2)C=C(NC(=O)C2=CC=C(C3CCN(C)C3)C=C2)C=C1,,,,,,,,,1.0,
C1=CC2=C(C=NN2)C=C1N1C=C(C2CC2)N=N1,,,,,0.0,,,,,
COC1=CC=C(CNC(=O)C(CCC(=O)O)NC(=O)C(CC2=CC=C(NC(=O)C(=O)O)C=C2)NC(C)=O)C=C1,,,,,,,0.0,,,
COC1=C(NC(=O)C2=CSC3=CN=CN=C23)C=C2C=CC=NC2=C1,0.0,,,,,,0.0,,0.0,
CC1(C)NC2=CC=CN=C2NC1=O,,,,,0.0,,,,,
CCCCCCCCCCCC(=O)NNC(=O)C1=C(O)C2=CC=C(Cl)C=C2N(C)C1=O,,,,,0.0,,,,,
NC1=CC=C(C2=CC(=O)C3=C(O2)C(N)=CC(N)=C3)C=C1,,,,,,,0.0,,,
COC1=CC=C(NN=CC2=C(O)C=CC(O)=C2)C=C1,,,,,,,0.0,,,
CC1=C(NC(=O)C2=C(C(=O)O)C=CC=C2C(=O)O)C(=O)N(C2=CC=CC=C2)N1C,,,,,,,,,,
CN1CCN(C2=CC=C(C3=C4N=CC(C5=CC=C(NC(=O)NC6=CC=CC=C6Cl)C=C5)=C(N)N4N=C3)C=C2)CC1,,,,,,,1.0,,,
CN1C=CC2=C1C=CC(C1=NN(C3CCCC3)C3=NC=NC(N)=C13)=C2,,,,,,,,,1.0,
CNC(=O)C1=C(OCC2CC2)N=C(C2=CC(NC(=O)CNCCNC3=C4CCCCC4=NC4=C3C=CC(Cl)=C4)=NC=C2)S1,,,,,1.0,,,,,
COC1=CC=CC=C1C1=CNC2=C1C=C(C1=CC(C(=O)N(C)C)=CN=C1)C=N2,,,,,,,,,1.0,
COC1=CC=CC=C1C1=CC=C2N=C(NC(=O)NCCN3CCN(C)CC3)SC2=C1,,,,,,,,,1.0,
CCOC(=O)C1=C2N=CC=C(C3=CC(NC(=O)C4=CC(C(F)(F)F)=CC=C4)=CC=C3)N2N=C1,,,,,,,0.0,,,
COC1=C(OC)C=C2C(=C1)N=CN2C1=CC(OCC2=CC=CC=C2C(F)(F)F)=C(C(=O)N(C)C)S1,0.0,,0.0,,0.0,,0.0,0.0,0.0,
CC1=CN=C(NC(=O)COC2=CC(O)=C3C(=O)C=C(C4=CC=CC=C4)OC3=C2)C=C1,,,,,,,,,1.0,
CC1=C(NC(=O)C2=CC3=C(C=C2)N=C(NC2=CC=CC(CN4CCOCC4)=N2)S3)C(Cl)=CC=C1,,,,,,,1.0,,,
O=C(NC1=CC=C(OC(F)(F)Cl)C=C1)C1=CN=C(N2CCC(O)C2)C(C2=CC(F)=CN=C2)=C1,,,,,,,,,1.0,
COC1=CC(OC)=C(C=CS(=O)(=O)CC2=CC(NCC(=O)O)=C(OC)C=C2)C(OC)=C1,,,,,,,,,,
COC1=C(O)C=CC(C(=O)NC2=CC=C(NC(=O)C3=CC=CC=C3)C=C2)=C1,0.0,,,,,,,,,
CC(C)CN(C)C(=O)C1=CC2=C(C=C1)C=C(C1=C(C3=CC=CC=C3)C=NN1)N2,,,,,0.0,,,,,
CN1CCN(C2=CC=CC3=C2N=C(C2=NNC4=C2C=CC(C2=CC=C(CN)C=C2)=C4)N3)CC1,0.0,,,,,,,,,
COC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C1=NC2=C(C=C(C3=CC=CS3)C=C2)C(C(=O)NS(C)(=O)=O)=C1,0.0,,,,,,,,,
CC(C)N(CCO)C1=NC(NC2=CC=CC(Cl)=C2)=C2N=CN(C(C)C)C2=N1,,,,,,,,,,
CCCC(=O)NC1=NNC2=C1C=CC(C1=CC=C(F)C=C1)=C2,,,,,0.0,,,,,
O=C1NC(=O)C(C2=CC=CC=C2[N+](=O)[O-])=C1NC1=CC(Cl)=C(O)C=C1,,,1.0,,1.0,,0.0,,,
FC(F)(F)C1=CC=C(C2=CC3=NC=CN=C3N2)C=C1,,,,,0.0,,,,,
NC(=O)C1CCN1C1=NC(CC2=CC=CC=C2)=CC(NC2=NNC(C3CCC3)=C2)=N1,,,,,,,1.0,,,
CN1N=C(N)C2=CN(C3OC(CO)C(O)C3O)C3=C2C1=NC=N3,,,,,,,,,,
CC(C)N1N=C(C2=CC3=C(C=C2)N=C(Cl)C=C3)C2=C(N)N=CN=C21,,,,,,,,,0.0,
CC1=CN=C2C=C(C3=CC=CC=C3)NC2=N1,,,,,0.0,,,,,
CC1=C(NC(=O)C2=CC3=C(C=C2)N=C(NC2=CC=CC=N2)S3)C(Cl)=CC=C1,,,,,,,1.0,,,
O=C(C=CC1=CC=C(C(=O)NC2=CC=CC(NC3=NC=C(C4=CN=CC=C4)S3)=C2)C=C1)NO,,,,,,,,,0.0,
CC1=C(F)C=C(C2=CC3=CN=C(NC(=O)C4CC4)C=C3C=C2)C=N1,,,,,,,,,1.0,
CCCC(=O)NC1=NNC2=CC(C3=CC=C(O)C=C3)=C(C3=CC=C(O)C=C3)C=C12,,,,,1.0,,,,,
NC(=O)C1=CC2=C(C=C1)N=C(C1=CC=C(OC3=CC=C(Cl)C=C3)C=C1)N2,,,,,,,,,,
CSC1=NC(NCCC2=CC=CC=C2)=C2C=NN(CC(Br)C3=CC=CC=C3)C2=N1,,,,,,,,,1.0,
CC1=CC(NC2=NC3=C(C=C(C(=O)NC4=C(C)C=CC=C4Cl)C=C3)S2)=NC=N1,,,,,,,1.0,,,
CC1=CC2=C(OC(C3=CC(O)=C(O)C=C3)=C(O)C2=O)C(N)=C1,1.0,,,,,,,,,
O=C1NC(=O)C(C2=CC=CC=C2Cl)=C1NC1=CC(Cl)=C(O)C=C1,,,0.0,,1.0,,,,,
CN(C)S(=O)(=O)C1=CC=C(NC2=CC(N[C@H]3CC[C@H](N)CC3)=NC3=C(Br)C=NN23)C=C1Cl,1.0,,,,0.0,,,,,
CC(=O)NS(=O)(=O)C1=CC=C(N=CC2=C(O)NC3=C2C2=C(C=C3)N=CS2)C=C1,1.0,,,,,,,,,
CC1=C(C(=O)NC2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3)N=C2)C=C(C(=O)NC2=CC=CC(C(F)(F)F)=C2)C=C1,,,,,,,1.0,,,
CCOC1=CC2=NC=NC(NC3=CC=CC(Br)=C3)=C2C=C1OCC,,,,,,,0.0,,0.0,
CC(=O)NC(CC1=CC=C(OP(=O)(O)O)C=C1)C(=O)NC(CC(C)C)C(=O)NCC1=CC=C(C(C)(C)C)C=C1,,,,,,,0.0,,,
CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(CN4CCC(O)CC4)C=N3)N=C2N1C1CCCC1,0.0,,,,,,,,,
CCNC(=O)NC1=NC2=C(C=C(C3=CC=CC=C3C)C=C2)N1,,,,,,,,,1.0,
COC1=CC(C)=CC=C1OC1=NC(NC2=CC=C(N3CCOCC3)C=C2)=NC=C1NC(=O)NC1=CC(Cl)=CC(Cl)=C1,,,,,,,0.0,,,
NC1=NC=CC(C2=CNC3=C2C=CC(C(F)(F)F)=C3)=N1,,,,,0.0,,,,,
CN1N=C(C(N)=O)C=C1C1=CC(NC(=O)C2CC2)=NC=C1,,,,,1.0,,,,,
CC1=CC(OC2=NC(N3CCCC3C(=O)NCCCN3C=CN=C3)=NC=C2)=CC=C1,0.0,,,,,,0.0,0.0,0.0,
O=C1NC2=C(C1=CC1=CN=CN1)C1=C(C=C2)N=CS1,,,0.0,,0.0,,0.0,,0.0,
CC1=CC=C(NC(=O)C2COCCO2)C=C1C1=CC=C2C=C(NC(=O)C3CC3)N=CC2=C1,,,,,,,,,1.0,
COC1=C(NS(=O)(=O)C2=CC=CC=C2)C=CC(C2=NN(C3CCC(N4CCN(C)CC4)CC3)C3=NC=NC(N)=C23)=C1,,,,,,,0.0,,,
CC1=CC=CC(C)=C1NC1=NC2=CC=CC([N+](=O)[O-])=C2N2C=NC=C12,,,,,,,1.0,,,
CCSC1=NN2C(CC3=CC=CC=C3)=NN=C2S1,0.0,,,,,,,,,
CC(C)COC1=NC2=C(C(C)C)C=NN2C(NC2=CC=C(S(C)(=O)=O)C=C2)=C1,0.0,,,,0.0,,,,,
CC1=CC=C(C(=O)NC2(C)COC2)C=C1C1=CC=C2C=C(N)N=CC2=C1,,,,,,,,,1.0,
CN1C(N2CCOC(C3=C(F)C=CC=C3Cl)C2)=NC(C2=NC=NC=C2)=CC1=O,,,,,1.0,,,,,
COC1=C(N)C=CC(C2=CC3=NSC(N4CC(C)OC(C)C4)=C3N=C2)=C1,,,,,,,,,,
COCCN1C=C(C2=C(C3=COC4=CC=CC=C34)C(=O)NC2=O)C2=CC(F)=CC=C21,,,,,1.0,,,,,
OC1=CC=C(NC2=NC(C3=CC=C(Cl)C=C3)=CS2)C=C1,,,,,,,,,,
CC1=C(C(=O)NC2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3)N=C2)C=C(NC(=O)C2=CC(C(F)(F)F)=CC=C2)C=C1,,,,,,,1.0,,1.0,
CC1=CC(NC2=C(C)N=C(C#N)C(NC(C)C3=NC=C(F)C=N3)=N2)=NN1,1.0,,,,,,,,,
COC1=C(OC)C=C(C2=C(N=NC3=CC=NC=C3)C(=O)NN2)C=C1,,,,,1.0,,,,,
COC1=CC=CC(C2=C(N=NC3=CC(Cl)=CC=C3)C(=O)NN2)=C1,,,,,1.0,,,,,
O=C(NC1=CC(F)=C(OC2=C3NC=NC3=NC=C2)C=C1)C1=CC=CN(C2=CC=C(F)C=C2)C1=O,0.0,,,,0.0,,,,0.0,
NC1=NC=CC(C2=CNC3=C(Br)C=CC=C23)=N1,,,,,0.0,,,,,
